date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:09:05	2928/2928	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Jul%202025%2016:39:04%20GMT	https://same-h8w4xrlji9g-latest.netlify.app/robots.txt		(from )
22:09:05	14466/14466	---MCZ	200	added ('OK')	text/html	etag:%2293gevc57awb5m%22	https://same-h8w4xrlji9g-latest.netlify.app/	C:/My%20Web%20Sites/mlm/same-h8w4xrlji9g-latest.netlify.app/index.html	(from )
22:09:06	48432/48432	---M--	200	added ('OK')	font/woff2	etag:%221f516f18941211be0eb66f8d5580cb59-ssl%22	https://same-h8w4xrlji9g-latest.netlify.app/_next/static/media/e4af272ccee01ff0-s.p.woff2	C:/My%20Web%20Sites/mlm/same-h8w4xrlji9g-latest.netlify.app/_next/static/media/e4af272ccee01ff0-s.p.woff2	(from https://same-h8w4xrlji9g-latest.netlify.app/)
22:09:07	30516/30516	---MCZ	200	added ('OK')	text/css	etag:%2231a0372e437e5b204cba1689a801650b-ssl-df%22	https://same-h8w4xrlji9g-latest.netlify.app/_next/static/css/61d327304cf62747.css	C:/My%20Web%20Sites/mlm/same-h8w4xrlji9g-latest.netlify.app/_next/static/css/61d327304cf62747.css	(from https://same-h8w4xrlji9g-latest.netlify.app/)
22:09:07	3430/3430	---MCZ	200	added ('OK')	application/javascript	etag:%225c9d989a03091d859b263cb4a0f37109-ssl-df%22	https://same-h8w4xrlji9g-latest.netlify.app/_next/static/chunks/webpack-620c33543baee0c1.js	C:/My%20Web%20Sites/mlm/same-h8w4xrlji9g-latest.netlify.app/_next/static/chunks/webpack-620c33543baee0c1.js	(from https://same-h8w4xrlji9g-latest.netlify.app/)
22:09:08	168413/168413	---MCZ	200	added ('OK')	application/javascript	etag:%22aa40eedf655c6f57b774ac2dd09318bb-ssl-df%22	https://same-h8w4xrlji9g-latest.netlify.app/_next/static/chunks/4bd1b696-36fe7c11f315f08c.js	C:/My%20Web%20Sites/mlm/same-h8w4xrlji9g-latest.netlify.app/_next/static/chunks/4bd1b696-36fe7c11f315f08c.js	(from https://same-h8w4xrlji9g-latest.netlify.app/)
22:09:09	518/518	---M--	200	added ('OK')	application/javascript	etag:%22fa7d41a7b21dfcbc3d81056f2e595601-ssl%22	https://same-h8w4xrlji9g-latest.netlify.app/_next/static/chunks/main-app-bdff1c82851a68ad.js	C:/My%20Web%20Sites/mlm/same-h8w4xrlji9g-latest.netlify.app/_next/static/chunks/main-app-bdff1c82851a68ad.js	(from https://same-h8w4xrlji9g-latest.netlify.app/)
22:09:09	174923/174923	---MCZ	200	added ('OK')	application/javascript	etag:%22d81f227d2544db9d61752d7060719648-ssl-df%22	https://same-h8w4xrlji9g-latest.netlify.app/_next/static/chunks/684-938713a7316f6732.js	C:/My%20Web%20Sites/mlm/same-h8w4xrlji9g-latest.netlify.app/_next/static/chunks/684-938713a7316f6732.js	(from https://same-h8w4xrlji9g-latest.netlify.app/)
22:09:11	517268/517268	---MCZ	200	added ('OK')	application/javascript	etag:%229a9635266c69983bfa885bab13fb9d7f-ssl-df%22	https://same-h8w4xrlji9g-latest.netlify.app/_next/static/chunks/992-de975d9b12d158cc.js	C:/My%20Web%20Sites/mlm/same-h8w4xrlji9g-latest.netlify.app/_next/static/chunks/992-de975d9b12d158cc.js	(from https://same-h8w4xrlji9g-latest.netlify.app/)
22:09:11	33427/33427	---MCZ	200	added ('OK')	application/javascript	etag:%2217ba3609f3d388deb153fa4edb0cf3b3-ssl-df%22	https://same-h8w4xrlji9g-latest.netlify.app/_next/static/chunks/app/page-2d11368b35d7c1e0.js	C:/My%20Web%20Sites/mlm/same-h8w4xrlji9g-latest.netlify.app/_next/static/chunks/app/page-2d11368b35d7c1e0.js	(from https://same-h8w4xrlji9g-latest.netlify.app/)
22:09:12	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:%22b5cc8b6cbba4016c1924b27744364767-ssl-df%22	https://same-h8w4xrlji9g-latest.netlify.app/_next/static/chunks/polyfills-42372ed130431b0a.js	C:/My%20Web%20Sites/mlm/same-h8w4xrlji9g-latest.netlify.app/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://same-h8w4xrlji9g-latest.netlify.app/)
22:09:12	25908/25908	---M--	200	added ('OK')	font/woff2	etag:%22e6b597054ffb36fe188e4bbf1c018bb8-ssl%22	https://same-h8w4xrlji9g-latest.netlify.app/_next/static/media/55c55f0601d81cf3-s.woff2	C:/My%20Web%20Sites/mlm/same-h8w4xrlji9g-latest.netlify.app/_next/static/media/55c55f0601d81cf3-s.woff2	(from https://same-h8w4xrlji9g-latest.netlify.app/_next/static/css/61d327304cf62747.css)
22:09:13	18820/18820	---M--	200	added ('OK')	font/woff2	etag:%22f9dbbafeba544b53bc515ee0c51da79e-ssl%22	https://same-h8w4xrlji9g-latest.netlify.app/_next/static/media/26a46d62cd723877-s.woff2	C:/My%20Web%20Sites/mlm/same-h8w4xrlji9g-latest.netlify.app/_next/static/media/26a46d62cd723877-s.woff2	(from https://same-h8w4xrlji9g-latest.netlify.app/_next/static/css/61d327304cf62747.css)
